,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,风电叶片,3328688898.48,467456791.5,2861232106.98,CNY
1,无碱玻璃纤维及制品,5723742001.58,2033692622.43,3690049379.15,CNY
2,高压复合气瓶,520667227.72,,,CNY
3,玻璃微纤维纸,294335592.34,,,CNY
4,高温过滤材料,346316328.04,,,CNY
5,高强玻璃纤维制品及先进复合材料,501596183.99,,,CNY
6,特种纤维复合材料技术与装备,452051179.03,,,CNY
7,锂电池隔膜,54276386.5,,,CNY
8,其他主营业务,732689995.2,,,CNY
9,内部抵销,-507494339.65,,,CNY
