,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,工程承包和成套设备,9077747440.98,1884997934.57,7192749506.41,CNY
1,国内外贸易,1011837346.38,11502889.03,1000334457.35,CNY
2,其他业务,60798527.07,60399151.06,399376.01,CNY
