,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,物业管理,333400952.67,17183275.86,316217676.81,CNY
1,饮食服务,31014702.89,5487229.76,25527473.13,CNY
2,其他,62569383.68,33716844.72,28852538.96,CNY
3,房屋租赁和管理收入,407308954.94,76241914.31,331067040.63,CNY
4,房屋租赁,73908002.27,59058638.45,14849363.82,CNY
5,交通运输,60550541.42,31438037.09,29112504.33,CNY
6,房地产开发,515974918.0,281961580.95,234013337.05,CNY
