,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,汽车贸易,134916197.98,6477723.28,128438474.7,CNY
1,其他业务,13021302.2,8437717.14,4583585.06,CNY
2,租赁服务业,107533087.06,61068236.26,46464850.8,CNY
3,汽车检测及维修,48256203.33,9750897.69,38505305.64,CNY
