,ts_code,symbol,name,area,industry,fullname,market,list_date
1726,300335.SZ,300335,迪森股份,广东,供气供热,广州迪森热能技术股份有限公司,创业板,20120710
1727,300336.SZ,300336,新文化,上海,影视音像,上海新文化传媒集团股份有限公司,创业板,20120710
1728,300337.SZ,300337,银邦股份,江苏,铝,银邦金属复合材料股份有限公司,创业板,20120718
1729,300338.SZ,300338,开元股份,湖南,文教休闲,长沙开元仪器股份有限公司,创业板,20120726
1730,300339.SZ,300339,润和软件,江苏,软件服务,江苏润和软件股份有限公司,创业板,20120718
1731,300340.SZ,300340,科恒股份,广东,元器件,江门市科恒实业股份有限公司,创业板,20120726
1732,300341.SZ,300341,麦克奥迪,福建,电气设备,麦克奥迪(厦门)电气股份有限公司,创业板,20120726
1733,300342.SZ,300342,天银机电,江苏,元器件,常熟市天银机电股份有限公司,创业板,20120726
1734,300343.SZ,300343,联创互联,山东,互联网,山东联创互联网传媒股份有限公司,创业板,20120801
1735,300344.SZ,300344,太空智造,北京,其他建材,太空智造股份有限公司,创业板,20120801
1736,300345.SZ,300345,红宇新材,湖南,钢加工,湖南红宇耐磨新材料股份有限公司,创业板,20120801
1737,300346.SZ,300346,南大光电,江苏,元器件,江苏南大光电材料股份有限公司,创业板,20120807
1738,300347.SZ,300347,泰格医药,浙江,医疗保健,杭州泰格医药科技股份有限公司,创业板,20120817
1739,300348.SZ,300348,长亮科技,深圳,软件服务,深圳市长亮科技股份有限公司,创业板,20120817
1740,300349.SZ,300349,金卡智能,浙江,软件服务,金卡智能集团股份有限公司,创业板,20120817
1741,300350.SZ,300350,华鹏飞,深圳,仓储物流,华鹏飞股份有限公司,创业板,20120821
1742,300351.SZ,300351,永贵电器,浙江,元器件,浙江永贵电器股份有限公司,创业板,20120920
1743,300352.SZ,300352,北信源,北京,软件服务,北京北信源软件股份有限公司,创业板,20120912
1744,300353.SZ,300353,东土科技,北京,通信设备,北京东土科技股份有限公司,创业板,20120927
1745,300354.SZ,300354,东华测试,江苏,电器仪表,江苏东华测试技术股份有限公司,创业板,20120920
1746,300355.SZ,300355,蒙草生态,内蒙,环境保护,内蒙古蒙草生态环境(集团)股份有限公司,创业板,20120927
1747,300356.SZ,300356,光一科技,江苏,电气设备,光一科技股份有限公司,创业板,20121009
1748,300357.SZ,300357,我武生物,浙江,生物制药,浙江我武生物科技股份有限公司,创业板,20140121
1749,300358.SZ,300358,楚天科技,湖南,医疗保健,楚天科技股份有限公司,创业板,20140121
1750,300359.SZ,300359,全通教育,广东,文教休闲,全通教育集团(广东)股份有限公司,创业板,20140121
1751,300360.SZ,300360,炬华科技,浙江,电器仪表,杭州炬华科技股份有限公司,创业板,20140121
1752,300362.SZ,300362,天翔环境,四川,环境保护,成都天翔环境股份有限公司,创业板,20140121
1753,300363.SZ,300363,博腾股份,重庆,化学制药,重庆博腾制药科技股份有限公司,创业板,20140129
1754,300364.SZ,300364,中文在线,北京,出版业,中文在线数字出版集团股份有限公司,创业板,20150121
1755,300365.SZ,300365,恒华科技,北京,软件服务,北京恒华伟业科技股份有限公司,创业板,20140123
1756,300366.SZ,300366,创意信息,四川,软件服务,创意信息技术股份有限公司,创业板,20140127
1757,300367.SZ,300367,东方网力,北京,电脑设备,东方网力科技股份有限公司,创业板,20140129
1758,300368.SZ,300368,汇金股份,河北,专用机械,河北汇金机电股份有限公司,创业板,20140123
1759,300369.SZ,300369,绿盟科技,北京,软件服务,北京神州绿盟信息安全科技股份有限公司,创业板,20140129
1760,300370.SZ,300370,安控科技,北京,电器仪表,北京安控科技股份有限公司,创业板,20140123
1761,300371.SZ,300371,汇中股份,河北,电器仪表,汇中仪表股份有限公司,创业板,20140123
1762,300373.SZ,300373,扬杰科技,江苏,半导体,扬州扬杰电子科技股份有限公司,创业板,20140123
1763,300374.SZ,300374,恒通科技,北京,其他建材,北京恒通创新赛木科技股份有限公司,创业板,20150319
1764,300375.SZ,300375,鹏翎股份,天津,汽车配件,天津鹏翎集团股份有限公司,创业板,20140127
1765,300376.SZ,300376,易事特,广东,电气设备,易事特集团股份有限公司,创业板,20140127
1766,300377.SZ,300377,赢时胜,深圳,软件服务,深圳市赢时胜信息技术股份有限公司,创业板,20140127
1767,300378.SZ,300378,鼎捷软件,上海,软件服务,鼎捷软件股份有限公司,创业板,20140127
1768,300379.SZ,300379,东方通,北京,软件服务,北京东方通科技股份有限公司,创业板,20140128
1769,300380.SZ,300380,安硕信息,上海,软件服务,上海安硕信息技术股份有限公司,创业板,20140128
1770,300381.SZ,300381,溢多利,广东,生物制药,广东溢多利生物科技股份有限公司,创业板,20140128
1771,300382.SZ,300382,斯莱克,江苏,专用机械,苏州斯莱克精密设备股份有限公司,创业板,20140129
1772,300383.SZ,300383,光环新网,北京,电信运营,北京光环新网科技股份有限公司,创业板,20140129
1773,300384.SZ,300384,三联虹普,北京,纺织机械,北京三联虹普新合纤技术服务股份有限公司,创业板,20140801
1774,300385.SZ,300385,雪浪环境,江苏,环境保护,无锡雪浪环境科技股份有限公司,创业板,20140626
1775,300386.SZ,300386,飞天诚信,北京,软件服务,飞天诚信科技股份有限公司,创业板,20140626
1776,300387.SZ,300387,富邦股份,湖北,化工原料,湖北富邦科技股份有限公司,创业板,20140702
1777,300388.SZ,300388,国祯环保,安徽,环境保护,安徽国祯环保节能科技股份有限公司,创业板,20140801
1778,300389.SZ,300389,艾比森,深圳,半导体,深圳市艾比森光电股份有限公司,创业板,20140801
1779,300390.SZ,300390,天华超净,江苏,元器件,苏州天华超净科技股份有限公司,创业板,20140731
1780,300391.SZ,300391,康跃科技,山东,机械基件,康跃科技股份有限公司,创业板,20140801
1781,300392.SZ,300392,腾信股份,北京,互联网,北京腾信创新网络营销技术股份有限公司,创业板,20140910
1782,300393.SZ,300393,中来股份,江苏,塑料,苏州中来光伏新材股份有限公司,创业板,20140912
