,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,泡沫件,68514616.64,8237204.96,60277411.68,CNY
1,液晶显示器,312991895.11,16344186.39,296647708.72,CNY
2,注塑件,188550863.79,20760671.89,167790191.9,CNY
3,其他业务,49110395.2,39089094.48,10021300.72,CNY
