,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,其他业务,133910532.0,31550840.0,102359692.0,CNY
1,奶粉,52404642.47,18902620.21,33502022.26,CNY
2,液体乳,4785638615.53,1632509663.79,3153128951.74,CNY
