,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,商品房销售,9396963359.18,2522660944.93,6874302414.25,CNY
1,物业管理、来料加工,80968769.22,-20851945.22,101820714.44,CNY
2,房屋租赁,252093270.32,146951676.33,105141593.99,CNY
3,其他(含来料加工、物业管理等),80968769.22,-20851945.22,101820714.44,CNY
4,其他业务,448614741.79,430792718.19,17822023.6,CNY
