,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,手机,790942197.54,41967506.59,748974690.95,CNY
1,白电,1569786771.56,292892861.04,1276893910.52,CNY
2,彩电,12590931785.71,1584574204.34,11006357581.37,CNY
3,其他业务,1133878632.78,97964922.34,1035913710.44,CNY
4,其他,2309637648.39,322280356.05,1987357292.34,CNY
