,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,20181231,房地产开发,2209992090.75,1365333471.83,844658618.92,CNY
1,20181231,物业管理,401218038.76,10983378.21,390234660.55,CNY
2,20181231,房屋租赁,76443577.98,51479936.67,24963641.31,CNY
3,20181231,饮食服务,27677194.36,3046496.58,24630697.78,CNY
4,20181231,其他主营业务,71909730.68,41207357.4,30702373.28,CNY
