,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,其他业务,25578699.36,11808641.27,13770058.09,CNY
1,核电阀门,238610111.68,59381046.18,179229065.5,CNY
2,核化工阀门,8511593.29,-1119281.5,9630874.79,CNY
3,其他特阀,737778448.85,142055290.72,595723158.13,CNY
4,水道阀门,210187499.29,36118929.95,174068569.34,CNY
5,铸锻件,5644110.5,2032612.43,3611498.07,CNY
