,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,房地产,579389222.57,100008218.37,479381004.2,CNY
1,委托代建,32932041.11,32446019.54,486021.57,CNY
2,物业管理,2960282.49,-87605.39,3047887.88,CNY
3,其他业务,5475682.75,-2594162.06,8069844.81,CNY
