,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,物业租赁及管理,39199933.32,25744019.53,13455913.79,CNY
1,商品贸易(钛矿产品),1536540.0,179940.0,1356600.0,CNY
2,物业租赁,15343291.52,14923684.89,419606.63,CNY
3,物业管理,23856641.8,10820334.64,13036307.16,CNY
4,其他业务,86377655.36,44601845.08,41775810.28,CNY
5,旅游饮食,87234409.78,70602724.19,16631685.59,CNY
