,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,其他业务,253422607.6,24852196.7,228570410.9,CNY
1,整车,37379460457.12,3167842355.91,34211618101.21,CNY
2,配件,2744996339.28,383842684.37,2361153654.91,CNY
