,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,金枪鱼,425574201.17,37464650.08,388109551.09,CNY
1,鱿鱼,170884225.83,-228249.33,171112475.16,CNY
2,秋刀鱼,13167000.17,2731049.26,10435950.91,CNY
3,杂鱼,1319814.34,-1691141.45,3010955.79,CNY
4,修船,1812820.91,-3954423.41,5767244.32,CNY
5,其他主营业务,9754332.9,809432.07,8944900.83,CNY
6,其他业务,3700529.86,1498586.25,2201943.61,CNY
