,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,石英玻璃制品,299592580.54,108234495.18,191358085.36,CNY
1,石英玻璃材料,410475884.85,216655181.28,193820703.57,CNY
2,其他业务,12029445.3,3118621.35,8910823.95,CNY
